***************************** LOGISTICS *****************************
Experiment Date: 2020-12-16 12:17
Output Name: full_epoch_step4_eps4_repeat4
User: shishira
***************************** ARGUMENTS *****************************
TRAIN: {'epochs': 350, 'arch': 'resnet50', 'start_epoch': 0, 'lr': 0.1, 'momentum': 0.99, 'weight_decay': 0.0005, 'print_freq': 10, 'mean': [0.4914, 0.4822, 0.4465], 'std': [0.2023, 0.1994, 0.201]}
ADV: {'clip_eps': 0.01568627450980392, 'fgsm_step': 0.01568627450980392, 'n_repeats': 4, 'pgd_attack': [(10, 0.00392156862), (50, 0.00392156862)]}
DATA: {'workers': 16, 'batch_size': 256, 'img_size': 32, 'crop_size': 32, 'max_color_value': 255.0}
output_prefix: full_epoch
config: configs.yml
resume: 
evaluate: False
pretrained: False
model: res
adj_lr_factor: 400.0
full_epoch: True
output_name: full_epoch_step4_eps4_repeat4
**********************************************************************
loading arma model: 
Train Epoch: [0][110/195]	Time 0.180 (0.190)	Data 0.000 (0.000)	Loss 2.2526 (2.3748)	Prec@1 10.547 (15.486)	Prec@5 60.938 (64.203)
Train Epoch: [0][110/195]	Time 0.180 (0.190)	Data 0.000 (0.000)	Loss 2.2499 (2.3745)	Prec@1 9.766 (15.473)	Prec@5 58.984 (64.191)
Train Epoch: [0][120/195]	Time 0.170 (0.189)	Data 0.000 (0.000)	Loss 2.1423 (2.3583)	Prec@1 13.281 (15.565)	Prec@5 67.188 (64.531)
Train Epoch: [0][120/195]	Time 0.173 (0.189)	Data 0.000 (0.000)	Loss 2.1906 (2.3579)	Prec@1 14.844 (15.563)	Prec@5 66.016 (64.534)
Train Epoch: [0][120/195]	Time 0.171 (0.189)	Data 0.000 (0.000)	Loss 2.2279 (2.3577)	Prec@1 13.281 (15.559)	Prec@5 64.062 (64.533)
Train Epoch: [0][120/195]	Time 0.171 (0.189)	Data 0.000 (0.000)	Loss 2.2119 (2.3574)	Prec@1 14.062 (15.556)	Prec@5 65.625 (64.535)
Train Epoch: [0][130/195]	Time 0.170 (0.187)	Data 0.000 (0.000)	Loss 2.2166 (2.3442)	Prec@1 16.016 (15.611)	Prec@5 64.844 (64.871)
Train Epoch: [0][130/195]	Time 0.169 (0.187)	Data 0.000 (0.000)	Loss 2.2481 (2.3440)	Prec@1 14.844 (15.609)	Prec@5 62.109 (64.866)
Train Epoch: [0][130/195]	Time 0.172 (0.187)	Data 0.000 (0.000)	Loss 2.2696 (2.3439)	Prec@1 12.500 (15.603)	Prec@5 62.891 (64.862)
Train Epoch: [0][130/195]	Time 0.175 (0.187)	Data 0.000 (0.000)	Loss 2.2397 (2.3437)	Prec@1 15.234 (15.603)	Prec@5 67.969 (64.868)
